Capacity,Gender,NameFlooring,Number of Floors,Mattress Size,Room_Types
126,Co-Ed,Arkansas Hall,Hardwood,3,Twin XL,Hybrid-style 
92,Co-Ed,Burns-Harsh Hall,Hardwood,1,"Twin 80"" long", 
200,Female,Bussey Hall,Vinyl,3,Twin XL, 
128,Co-Ed,Columbia Hall,Hardwood,3,39 x 80, 
50,Co-Ed,Eichenberger Hall,Hardwood,1,Twin XL, 
92,Co-Ed,Fincher Hall,Tile,3,39 x 80, 
192,Co-Ed,Greene Hall,vinyl ,3,Twin XL, 
98,Co-Ed,Harrod Hall,Tile,3,Twin XL, 
84,Co-Ed,Honors Hall North,Tile,3,39 x 80,Suite-style rooms with bathroom between two rooms
96,Co-Ed,Honors South Hall,Tile,3,39 x 80, 
128,Co-Ed,Magnolia Hall,Hardwood,3,39 x 80, 
116,Co-Ed,Mallory Hall,Hardwood / Carpet,3,39 × 80,Suite-style
80,Co-Ed,Mulerider Pointe Apartments,"carpet, tile",2,Twin XL,2 bedroom apartments with double occupancy bedrooms
192,Male,Talbot Hall,Luxury vinyl,3,Twin XL, 
192,Co-Ed,Talley Hall,Hardwood,3,39 x 80, 
264,Co-Ed,University Village Apartments,"Tile, Carpet, and Hardwood",3,54 x 74,2 or 4 bedroom apartments with single bedrooms
